CardNumber;TurnoverTime;ExecutionTime;DealerName;DealerLocation;Turnover;Note
2718 2818 2845 8567;2025-04-26T16:25:00;2025-04-27T14:37:00;Speedy Cars Frankfurt;Berlin;2842.06;Verzögerung bei der Bearbeitung
9928799676080904;2025-04-22T02:06:00;2025-04-23T03:35:00;DriveNow Stuttgart;Berlin;2081.68;
9268308360304315;2025-04-20T20:35:00;2025-04-26T02:27:00;Autozentrum König;Berlin;5491.31;Besonderer Rabatt gewährt
1076815826441335;2025-04-20T10:27:00;2025-04-21T16:37:00;CarMax München;München;5358.36;Erfolgreicher Abschluss
7035153393198652;2025-04-21T01:48:00;2025-04-26T05:18:00;DriveNow Stuttgart;Hamburg;13892.67;
4687932889316064;2025-04-26T19:59:00;2025-04-28T04:44:00;CarMax München;München;14761.12;Erfolgreicher Abschluss
8663444090626575;2025-04-28T00:57:00;2025-04-28T18:20:00;Speedy Cars Frankfurt;Stuttgart;13542.37;Erfolgreicher Abschluss
2502035500144589;2025-04-28T13:30:00;2025-04-28T18:25:00;Autohaus Müller;Hamburg;19170.92;Besonderer Rabatt gewährt
5600287022538981;2025-04-27T01:57:00;2025-04-28T17:29:00;CarMax München;Berlin;1473.31;
9410750516330998;2025-04-20T23:08:00;2025-04-24T22:40:00;Autohaus Müller;München;15255.65;
2183230976552384;2025-04-25T20:54:00;2025-04-28T00:24:00;Autohaus Müller;Berlin;17077.72;Verzögerung bei der Bearbeitung
3921338920580846;2025-04-23T01:52:00;2025-04-24T00:49:00;Autozentrum König;Berlin;16356.52;Kunde verlangte Rechnungskopie
3876210972133469;2025-04-27T05:15:00;2025-04-27T05:50:00;Speedy Cars Frankfurt;Frankfurt;16266.26;Besonderer Rabatt gewährt
0571667941966466;2025-04-25T15:16:00;2025-04-28T17:30:00;CarMax München;Hamburg;17869.9;
8674098124655486;2025-04-26T12:19:00;2025-04-26T19:14:00;DriveNow Stuttgart;Frankfurt;19618.59;Besonderer Rabatt gewährt
9792615309954809;2025-04-25T15:35:00;2025-04-27T08:05:00;DriveNow Stuttgart;Frankfurt;18508.81;Verzögerung bei der Bearbeitung
4374373692380076;2025-04-24T04:27:00;2025-04-26T08:57:00;Autohaus Müller;Hamburg;14746.65;Erfolgreicher Abschluss
8573728495742761;2025-04-20T08:48:00;2025-04-28T10:46:00;Autohaus Müller;Stuttgart;14903.22;Verzögerung bei der Bearbeitung
1266673157123705;2025-04-24T23:37:00;2025-04-25T04:36:00;DriveNow Stuttgart;Stuttgart;14626.6;Besonderer Rabatt gewährt
5618729793654729;2025-04-20T06:00:00;2025-04-24T12:23:00;Autozentrum König;Berlin;7449.13;
6087820315706004;2025-04-27T04:02:00;2025-04-28T09:45:00;Autohaus Müller;Stuttgart;1961.57;Besonderer Rabatt gewährt
1063359944058821;2025-04-24T09:22:00;2025-04-27T08:18:00;CarMax München;Hamburg;17849.73;Kunde verlangte Rechnungskopie
